Слово,Словарь тихонова,Словарь CrossLexica,POS
прикрыть, при:PREF/кры:ROOT/ть:SUFF, при:PREF/кры:ROOT/ть:END, VERB
подобрать, подо:PREF/бр:ROOT/а:SUFF/ть:SUFF, подо:PREF/бр:ROOT/ать:END, VERB
смениться, с:PREF/мен:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/мен:ROOT/ить:END/ся:POSTFIX, VERB
повиснуть, по:PREF/вис:ROOT/ну:SUFF/ть:SUFF, по:PREF/вис:ROOT/н:SUFF/уть:END, VERB
приветствовать, привет:ROOT/ств:SUFF/ова:SUFF/ть:SUFF, привет:ROOT/ств:SUFF/ов:SUFF/ать:END, VERB
удлинить, у:PREF/дл:ROOT/ин:SUFF/и:SUFF/ть:SUFF, у:PREF/дл:ROOT/ин:SUFF/ить:END, VERB
показаться, показ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/каз:ROOT/ать:END/ся:POSTFIX, VERB
вспахать, вс:PREF/пах:ROOT/а:SUFF/ть:SUFF, вс:PREF/пах:ROOT/ать:END, VERB
увлекаться, у:PREF/влек:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/влек:ROOT/ать:END/ся:POSTFIX, VERB
возвысить, воз:PREF/выс:ROOT/и:SUFF/ть:SUFF, воз:PREF/выс:ROOT/ить:END, VERB
врубиться, в:PREF/руб:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, в:PREF/руб:ROOT/ить:END/ся:POSTFIX, VERB
переманивать, пере:PREF/ман:ROOT/ива:SUFF/ть:SUFF, пере:PREF/ман:ROOT/ив:SUFF/ать:END, VERB
отсылать, от:PREF/сыл:ROOT/а:SUFF/ть:SUFF, от:PREF/сыл:ROOT/ать:END, VERB
пролить, про:PREF/ли:ROOT/ть:SUFF, про:PREF/ли:ROOT/ть:END, VERB
закончить, за:PREF/конч:ROOT/и:SUFF/ть:SUFF, за:PREF/конч:ROOT/ить:END, VERB
отгородиться, от:PREF/город:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/город:ROOT/ить:END/ся:POSTFIX, VERB
уговориться, у:PREF/говор:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/говор:ROOT/ить:END/ся:POSTFIX, VERB
обиваться, о:PREF/би:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/би:ROOT/ва:SUFF/ть:END/ся:POSTFIX, VERB
взламывать, вз:PREF/лам:ROOT/ыва:SUFF/ть:SUFF, вз:PREF/лам:ROOT/ыв:SUFF/ать:END, VERB
расселяться, рас:PREF/сел:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, рас:PREF/сел:ROOT/ять:END/ся:POSTFIX, VERB
обмываться, об:PREF/мы:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/мыв:ROOT/ать:END/ся:POSTFIX, VERB
перевеять, пере:PREF/ве:ROOT/я:SUFF/ть:SUFF, пере:PREF/ве:ROOT/ять:END, VERB
улаживаться, у:PREF/лаж:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/лаж:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
предаться, преда:ROOT/ть:SUFF/ся:POSTFIX, пре:PREF/да:ROOT/ть:END/ся:POSTFIX, VERB
привариться, при:PREF/вар:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, при:PREF/вар:ROOT/ить:END/ся:POSTFIX, VERB
погрозить, по:PREF/гроз:ROOT/и:SUFF/ть:SUFF, по:PREF/гроз:ROOT/ить:END, VERB
усваивать, у:PREF/сва:ROOT/ива:SUFF/ть:SUFF, у:PREF/сва:ROOT/ив:SUFF/ать:END, VERB
расколоться, рас:PREF/кол:ROOT/о:SUFF/ть:SUFF/ся:POSTFIX, рас:PREF/кол:ROOT/оть:END/ся:POSTFIX, VERB
смолкать, с:PREF/молк:ROOT/а:SUFF/ть:SUFF, с:PREF/молк:ROOT/ать:END, VERB
обустраивать, об:PREF/у:PREF/стра:ROOT/ива:SUFF/ть:SUFF, обу:PREF/стра:ROOT/ив:SUFF/ать:END, VERB
вывеять, вы:PREF/ве:ROOT/я:SUFF/ть:SUFF, вы:PREF/ве:ROOT/ять:END, VERB
сесть, сес:ROOT/ть:SUFF, сес:ROOT/ть:END, VERB
отпуститься, от:PREF/пуст:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/пуст:ROOT/ить:END/ся:POSTFIX, VERB
кружить, круж:ROOT/и:SUFF/ть:SUFF, круж:ROOT/ить:END, VERB
вымочить, вы:PREF/моч:ROOT/и:SUFF/ть:SUFF, вы:PREF/моч:ROOT/ить:END, VERB
сбредать, с:PREF/бред:ROOT/а:SUFF/ть:SUFF, с:PREF/бред:ROOT/ать:END, VERB
взимать, взима:ROOT/ть:SUFF, вз:PREF/им:ROOT/ать:END, VERB
выпить, вы:PREF/пи:ROOT/ть:SUFF, вы:PREF/пи:ROOT/ть:END, VERB
наливаться, на:PREF/ли:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/ли:ROOT/ва:SUFF/ть:END/ся:POSTFIX, VERB
побаюкать, по:PREF/баю:ROOT/ка:SUFF/ть:SUFF, по:PREF/баюк:ROOT/ать:END, VERB
граничить, гранич:ROOT/и:SUFF/ть:SUFF, гран:ROOT/ич:SUFF/ить:END, VERB
отрабатываться, от:PREF/рабат:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/рабат:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
благоухать, благоуха:ROOT/ть:SUFF, благоух:ROOT/ать:END, VERB
отваливать, от:PREF/вал:ROOT/ива:SUFF/ть:SUFF, от:PREF/вал:ROOT/ив:SUFF/ать:END, VERB
вестись, вес:ROOT/ти:SUFF/сь:POSTFIX, вес:ROOT/ти:END/сь:POSTFIX, VERB
прознавать, про:PREF/зна:ROOT/ва:SUFF/ть:SUFF, про:PREF/зн:ROOT/ав:SUFF/ать:END, VERB
засматриваться, за:PREF/сматр:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/сматр:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
подвести, под:PREF/вес:ROOT/ти:SUFF, под:PREF/вес:ROOT/ти:END, VERB
урезать, у:PREF/рез:ROOT/а:SUFF/ть:SUFF, у:PREF/рез:ROOT/ать:END, VERB
побыть, по:PREF/бы:ROOT/ть:SUFF, по:PREF/бы:ROOT/ть:END, VERB
подтвердить, подтверд:ROOT/и:SUFF/ть:SUFF, под:PREF/тверд:ROOT/ить:END, VERB
потрясти, по:PREF/тряс:ROOT/ти:SUFF, по:PREF/тряс:ROOT/ти:END, VERB
просмотреть, про:PREF/смотр:ROOT/е:SUFF/ть:SUFF, про:PREF/смотр:ROOT/еть:END, VERB
укрупнять, у:PREF/крупн:ROOT/я:SUFF/ть:SUFF, у:PREF/круп:ROOT/н:SUFF/ять:END, VERB
совершаться, соверш:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, со:PREF/верш:ROOT/ать:END/ся:POSTFIX, VERB
добыть, добы:ROOT/ть:SUFF, до:PREF/бы:ROOT/ть:END, VERB
покачнуться, по:PREF/кач:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/качн:ROOT/уть:END/ся:POSTFIX, VERB
столкнуться, с:PREF/толк:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/толк:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
хаживать, хаж:ROOT/ива:SUFF/ть:SUFF, хаж:ROOT/ив:SUFF/ать:END, VERB
выверчивать, вы:PREF/верч:ROOT/ива:SUFF/ть:SUFF, вы:PREF/верч:ROOT/ив:SUFF/ать:END, VERB
выводить, вы:PREF/вод:ROOT/и:SUFF/ть:SUFF, вы:PREF/вод:ROOT/ить:END, VERB
перевидеть, пере:PREF/вид:ROOT/е:SUFF/ть:SUFF, пере:PREF/вид:ROOT/еть:END, VERB
выйти, вы:PREF/й:ROOT/ти:SUFF, вы:PREF/й:ROOT/ти:END, VERB
побренчать, по:PREF/бренч:ROOT/а:SUFF/ть:SUFF, по:PREF/бренч:ROOT/ать:END, VERB
прочесать, про:PREF/чес:ROOT/а:SUFF/ть:SUFF, про:PREF/чес:ROOT/ать:END, VERB
заманить, за:PREF/ман:ROOT/и:SUFF/ть:SUFF, за:PREF/ман:ROOT/ить:END, VERB
оторвать, ото:PREF/рв:ROOT/а:SUFF/ть:SUFF, ото:PREF/рв:ROOT/ать:END, VERB
выкрутить, вы:PREF/крут:ROOT/и:SUFF/ть:SUFF, вы:PREF/крут:ROOT/ить:END, VERB
спить, с:PREF/пи:ROOT/ть:SUFF, с:PREF/пи:ROOT/ть:END, VERB
побаловаться, по:PREF/балова:ROOT/ть:SUFF/ся:POSTFIX, по:PREF/бал:ROOT/ов:SUFF/ать:END/ся:POSTFIX, VERB
запариться, за:PREF/пар:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/пар:ROOT/ить:END/ся:POSTFIX, VERB
выжидать, вы:PREF/жид:ROOT/а:SUFF/ть:SUFF, вы:PREF/жид:ROOT/ать:END, VERB
подвигать, по:PREF/двиг:ROOT/а:SUFF/ть:SUFF, по:PREF/двиг:ROOT/ать:END, VERB
выкрасть, вы:PREF/крас:ROOT/ть:SUFF, вы:PREF/крас:ROOT/ть:END, VERB
просыпаться, про:PREF/сып:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/сып:ROOT/ать:END/ся:POSTFIX, VERB
добросить, до:PREF/брос:ROOT/и:SUFF/ть:SUFF, до:PREF/брос:ROOT/ить:END, VERB
избегать, избег:ROOT/а:SUFF/ть:SUFF, из:PREF/бег:ROOT/ать:END, VERB
просматривать, про:PREF/сматр:ROOT/ива:SUFF/ть:SUFF, про:PREF/сматр:ROOT/ив:SUFF/ать:END, VERB
вписывать, в:PREF/пис:ROOT/ыва:SUFF/ть:SUFF, в:PREF/пис:ROOT/ыв:SUFF/ать:END, VERB
разбредаться, раз:PREF/бред:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, раз:PREF/бред:ROOT/ать:END/ся:POSTFIX, VERB
пересматривать, пере:PREF/сматр:ROOT/ива:SUFF/ть:SUFF, пере:PREF/сматр:ROOT/ив:SUFF/ать:END, VERB
утихнуть, у:PREF/тих:ROOT/ну:SUFF/ть:SUFF, у:PREF/тих:ROOT/н:SUFF/уть:END, VERB
портиться, порт:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, порт:ROOT/ить:END/ся:POSTFIX, VERB
занести, за:PREF/нес:ROOT/ти:SUFF, за:PREF/нес:ROOT/ти:END, VERB
втолкнуть, в:PREF/толк:ROOT/ну:SUFF/ть:SUFF, в:PREF/толк:ROOT/н:SUFF/уть:END, VERB
прописать, про:PREF/пис:ROOT/а:SUFF/ть:SUFF, про:PREF/пис:ROOT/ать:END, VERB
наподдать, на:PREF/под:PREF/да:ROOT/ть:SUFF, на:PREF/под:SUFF/да:ROOT/ть:END, VERB
перебирать, пере:PREF/бир:ROOT/а:SUFF/ть:SUFF, пере:PREF/бир:ROOT/ать:END, VERB
воспользоваться, вос:PREF/польз:ROOT/ова:SUFF/ть:SUFF/ся:POSTFIX, вос:PREF/польз:ROOT/ов:SUFF/ать:END/ся:POSTFIX, VERB
выработать, вы:PREF/работ:ROOT/а:SUFF/ть:SUFF, вы:PREF/работ:ROOT/ать:END, VERB
пережить, пере:PREF/жи:ROOT/ть:SUFF, пере:PREF/жи:ROOT/ть:END, VERB
добегаться, до:PREF/бег:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/бег:ROOT/ать:END/ся:POSTFIX, VERB
базировать, баз:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, баз:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
посмотреть, по:PREF/смотр:ROOT/е:SUFF/ть:SUFF, по:PREF/смотр:ROOT/еть:END, VERB
исправиться, ис:PREF/прав:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, ис:PREF/прав:ROOT/ить:END/ся:POSTFIX, VERB
подтащиться, под:PREF/тащ:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, под:PREF/тащ:ROOT/ить:END/ся:POSTFIX, VERB
отбывать, от:PREF/бы:ROOT/ва:SUFF/ть:SUFF, от:PREF/быв:ROOT/ать:END, VERB
отстраниться, отстран:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/стран:ROOT/ить:END/ся:POSTFIX, VERB
опустить, о:PREF/пуст:ROOT/и:SUFF/ть:SUFF, о:PREF/пуст:ROOT/ить:END, VERB
угнаться, у:PREF/гн:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/гн:ROOT/ать:END/ся:POSTFIX, VERB
обвертеться, об:PREF/верт:ROOT/е:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/верт:ROOT/еть:END/ся:POSTFIX, VERB
высидеть, вы:PREF/сид:ROOT/е:SUFF/ть:SUFF, вы:PREF/сид:ROOT/еть:END, VERB
просвещать, просвещ:ROOT/а:SUFF/ть:SUFF, про:PREF/свещ:ROOT/ать:END, VERB
веселеть, весел:ROOT/е:SUFF/ть:SUFF, весел:ROOT/еть:END, VERB
изображать, изображ:ROOT/а:SUFF/ть:SUFF, из:PREF/об:SUFF/раж:ROOT/ать:END, VERB
осматриваться, о:PREF/сматр:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/сматр:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
достирать, до:PREF/стир:ROOT/а:SUFF/ть:SUFF, до:PREF/стир:ROOT/ать:END, VERB
склониться, с:PREF/клон:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/клон:ROOT/ить:END/ся:POSTFIX, VERB
вылиться, вы:PREF/ли:ROOT/ть:SUFF/ся:POSTFIX, вы:PREF/ли:ROOT/ть:END/ся:POSTFIX, VERB
разбогатеть, раз:PREF/богат:ROOT/е:SUFF/ть:SUFF, раз:PREF/бог:ROOT/ат:SUFF/еть:END, VERB
длиться, дл:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, дл:ROOT/ить:END/ся:POSTFIX, VERB
бросаться, брос:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, брос:ROOT/ать:END/ся:POSTFIX, VERB
счесать, с:PREF/чес:ROOT/а:SUFF/ть:SUFF, с:PREF/чес:ROOT/ать:END, VERB
справиться, справ:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/прав:ROOT/ить:END/ся:POSTFIX, VERB
разбушеваться, раз:PREF/бушева:ROOT/ть:SUFF/ся:POSTFIX, раз:PREF/буш:ROOT/ев:SUFF/ать:END/ся:POSTFIX, VERB
промораживать, про:PREF/мораж:ROOT/ива:SUFF/ть:SUFF, про:PREF/мораж:ROOT/ив:SUFF/ать:END, VERB
перетрусить, пере:PREF/трус:ROOT/и:SUFF/ть:SUFF, пере:PREF/трус:ROOT/ить:END, VERB
проживать, про:PREF/жи:ROOT/ва:SUFF/ть:SUFF, про:PREF/жив:ROOT/ать:END, VERB
свергнуть, сверг:ROOT/ну:SUFF/ть:SUFF, с:PREF/верг:ROOT/н:SUFF/уть:END, VERB
приладить, при:PREF/лад:ROOT/и:SUFF/ть:SUFF, при:PREF/лад:ROOT/ить:END, VERB
дочищаться, до:PREF/чищ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/чищ:ROOT/ать:END/ся:POSTFIX, VERB
обобществить, об:PREF/общ:ROOT/еств:SUFF/и:SUFF/ть:SUFF, об:PREF/общ:ROOT/еств:SUFF/ить:END, VERB
утихать, у:PREF/тих:ROOT/а:SUFF/ть:SUFF, у:PREF/тих:ROOT/ать:END, VERB
доварить, до:PREF/вар:ROOT/и:SUFF/ть:SUFF, до:PREF/вар:ROOT/ить:END, VERB
изведать, из:PREF/вед:ROOT/а:SUFF/ть:SUFF, из:PREF/вед:ROOT/ать:END, VERB
ответвиться, от:PREF/ветв:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/ветв:ROOT/ить:END/ся:POSTFIX, VERB
успевать, успе:ROOT/ва:SUFF/ть:SUFF, у:PREF/спев:ROOT/ать:END, VERB
прорваться, про:PREF/рв:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/рв:ROOT/ать:END/ся:POSTFIX, VERB
вкачать, в:PREF/кач:ROOT/а:SUFF/ть:SUFF, в:PREF/кач:ROOT/ать:END, VERB
вышить, вы:PREF/ши:ROOT/ть:SUFF, вы:PREF/ши:ROOT/ть:END, VERB
подменить, под:PREF/мен:ROOT/и:SUFF/ть:SUFF, под:PREF/мен:ROOT/ить:END, VERB
пересказываться, пере:PREF/сказ:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, пере:PREF/сказ:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
содрать, со:PREF/др:ROOT/а:SUFF/ть:SUFF, со:PREF/др:ROOT/ать:END, VERB
ознакомить, о:PREF/знаком:ROOT/и:SUFF/ть:SUFF, о:PREF/знак:ROOT/ом:SUFF/ить:END, VERB
повысить, по:PREF/выс:ROOT/и:SUFF/ть:SUFF, по:PREF/выс:ROOT/ить:END, VERB
восхищать, восхищ:ROOT/а:SUFF/ть:SUFF, вос:PREF/хищ:ROOT/ать:END, VERB
надрезать, над:PREF/рез:ROOT/а:SUFF/ть:SUFF, над:PREF/рез:ROOT/ать:END, VERB
стереть, с:PREF/тер:ROOT/е:SUFF/ть:SUFF, с:PREF/тер:ROOT/еть:END, VERB
аннулировать, аннул:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, аннул:ROOT/ир:SUFF/ова:SUFF/ть:END, VERB
очищаться, о:PREF/чищ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/чищ:ROOT/ать:END/ся:POSTFIX, VERB
похищаться, по:PREF/хищ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, по:PREF/хищ:ROOT/ать:END/ся:POSTFIX, VERB
возбудить, воз:PREF/буд:ROOT/и:SUFF/ть:SUFF, воз:PREF/буд:ROOT/ить:END, VERB
налететь, на:PREF/лет:ROOT/е:SUFF/ть:SUFF, на:PREF/лет:ROOT/еть:END, VERB
числиться, числ:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, числ:ROOT/ить:END/ся:POSTFIX, VERB
втравливать, в:PREF/травл:ROOT/ива:SUFF/ть:SUFF, в:PREF/травл:ROOT/ив:SUFF/ать:END, VERB
страдать, страда:ROOT/ть:SUFF, страд:ROOT/ать:END, VERB
забронироваться, за:PREF/брон:ROOT/ир:SUFF/ова:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/брон:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX, VERB
взобраться, взо:PREF/бр:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, взо:PREF/бр:ROOT/ать:END/ся:POSTFIX, VERB
баловать, балова:ROOT/ть:SUFF, бал:ROOT/ов:SUFF/ать:END, VERB
гнуть, г:ROOT/ну:SUFF/ть:SUFF, гн:ROOT/уть:END, VERB
отобразить, отобраз:ROOT/и:SUFF/ть:SUFF, от:PREF/образ:ROOT/ить:END, VERB
заполнить, за:PREF/полн:ROOT/и:SUFF/ть:SUFF, за:PREF/полн:ROOT/ить:END, VERB
пахать, пах:ROOT/а:SUFF/ть:SUFF, пах:ROOT/ать:END, VERB
заборонить, за:PREF/борон:ROOT/и:SUFF/ть:SUFF, за:PREF/борон:ROOT/ить:END, VERB
вселять, в:PREF/сел:ROOT/я:SUFF/ть:SUFF, в:PREF/сел:ROOT/ять:END, VERB
объясняться, объ:ROOT/ясн:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, объ:PREF/ясн:ROOT/ять:END/ся:POSTFIX, VERB
подбеливать, под:PREF/бел:ROOT/ива:SUFF/ть:SUFF, под:PREF/бел:ROOT/ив:SUFF/ать:END, VERB
приставать, при:PREF/ста:ROOT/ва:SUFF/ть:SUFF, при:PREF/став:ROOT/ать:END, VERB
брести, брес:ROOT/ти:SUFF, брес:ROOT/ти:END, VERB
распасться, рас:PREF/пас:ROOT/ть:SUFF/ся:POSTFIX, рас:PREF/пас:ROOT/ть:END/ся:POSTFIX, VERB
сливаться, с:PREF/ли:ROOT/ва:SUFF/ть:SUFF/ся:POSTFIX, с:PREF/лив:ROOT/ать:END/ся:POSTFIX, VERB
вдолбить, в:PREF/долб:ROOT/и:SUFF/ть:SUFF, в:PREF/долб:ROOT/ить:END, VERB
вращаться, вращ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, вращ:ROOT/ать:END/ся:POSTFIX, VERB
переломать, пере:PREF/лом:ROOT/а:SUFF/ть:SUFF, пере:PREF/лом:ROOT/ать:END, VERB
просигнализировать, про:PREF/сигнал:ROOT/из:SUFF/ир:SUFF/ова:SUFF/ть:SUFF, про:PREF/сигнал:ROOT/из:SUFF/ир:SUFF/ов:SUFF/ать:END, VERB
деть, де:ROOT/ть:SUFF, де:ROOT/ть:END, VERB
уйти, у:PREF/й:ROOT/ти:SUFF, у:PREF/й:ROOT/ти:END, VERB
извещаться, из:PREF/вещ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, из:PREF/вещ:ROOT/ать:END/ся:POSTFIX, VERB
прободать, про:PREF/бод:ROOT/а:SUFF/ть:SUFF, про:PREF/бод:ROOT/ать:END, VERB
вверить, в:PREF/вер:ROOT/и:SUFF/ть:SUFF, в:PREF/вер:ROOT/ить:END, VERB
оторваться, ото:PREF/рв:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, ото:PREF/рв:ROOT/ать:END/ся:POSTFIX, VERB
вспухнуть, вс:PREF/пух:ROOT/ну:SUFF/ть:SUFF, вс:PREF/пух:ROOT/н:SUFF/уть:END, VERB
разукрупняться, раз:PREF/у:PREF/крупн:ROOT/я:SUFF/ть:SUFF/ся:POSTFIX, раз:PREF/у:SUFF/круп:ROOT/н:SUFF/ять:END/ся:POSTFIX, VERB
разгораживать, раз:PREF/гораж:ROOT/ива:SUFF/ть:SUFF, раз:PREF/гораж:ROOT/ив:SUFF/ать:END, VERB
задеть, заде:ROOT/ть:SUFF, за:PREF/де:ROOT/ть:END, VERB
весть, весть:ROOT, вест:ROOT/ь:END, VERB
отражать, отраж:ROOT/а:SUFF/ть:SUFF, от:PREF/раж:ROOT/ать:END, VERB
наедаться, на:PREF/ед:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/ед:ROOT/ать:END/ся:POSTFIX, VERB
недодумать, не:PREF/до:PREF/дум:ROOT/а:SUFF/ть:SUFF, недо:PREF/дум:ROOT/ать:END, VERB
пользоваться, польз:ROOT/ова:SUFF/ть:SUFF/ся:POSTFIX, польз:ROOT/ов:SUFF/ать:END/ся:POSTFIX, VERB
разобраться, разо:PREF/бр:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, разо:PREF/бр:ROOT/ать:END/ся:POSTFIX, VERB
выгораживаться, вы:PREF/гораж:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/гораж:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
прикрывать, при:PREF/кры:ROOT/ва:SUFF/ть:SUFF, при:PREF/крыв:ROOT/ать:END, VERB
задергиваться, за:PREF/дерг:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/дерг:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
пробелить, про:PREF/бел:ROOT/и:SUFF/ть:SUFF, про:PREF/бел:ROOT/ить:END, VERB
всходить, вс:PREF/ход:ROOT/и:SUFF/ть:SUFF, вс:PREF/ход:ROOT/ить:END, VERB
приваливать, при:PREF/вал:ROOT/ива:SUFF/ть:SUFF, при:PREF/вал:ROOT/ив:SUFF/ать:END, VERB
вывезти, вы:PREF/вез:ROOT/ти:SUFF, вы:PREF/вез:ROOT/ти:END, VERB
заделываться, за:PREF/дел:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/дел:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
врубить, в:PREF/руб:ROOT/и:SUFF/ть:SUFF, в:PREF/руб:ROOT/ить:END, VERB
знакомиться, знаком:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, знак:ROOT/ом:SUFF/ить:END/ся:POSTFIX, VERB
раскусывать, рас:PREF/кус:ROOT/ыва:SUFF/ть:SUFF, рас:PREF/кус:ROOT/ыв:SUFF/ать:END, VERB
сманивать, с:PREF/ман:ROOT/ива:SUFF/ть:SUFF, с:PREF/ман:ROOT/ив:SUFF/ать:END, VERB
расцветать, рас:PREF/цвет:ROOT/а:SUFF/ть:SUFF, рас:PREF/цвет:ROOT/ать:END, VERB
упрощаться, у:PREF/прощ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/прощ:ROOT/ать:END/ся:POSTFIX, VERB
побурчать, по:PREF/бурч:ROOT/а:SUFF/ть:SUFF, по:PREF/бурч:ROOT/ать:END, VERB
вникать, вник:ROOT/а:SUFF/ть:SUFF, в:PREF/ник:ROOT/ать:END, VERB
договориться, до:PREF/говор:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/говор:ROOT/ить:END/ся:POSTFIX, VERB
застелить, за:PREF/стел:ROOT/и:SUFF/ть:SUFF, за:PREF/стел:ROOT/ить:END, VERB
близиться, близ:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, близ:ROOT/ить:END/ся:POSTFIX, VERB
обустроить, об:PREF/у:PREF/стро:ROOT/и:SUFF/ть:SUFF, обу:PREF/стро:ROOT/ить:END, VERB
доставить, достав:ROOT/и:SUFF/ть:SUFF, до:PREF/став:ROOT/ить:END, VERB
взвалиться, вз:PREF/вал:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, вз:PREF/вал:ROOT/ить:END/ся:POSTFIX, VERB
отвариваться, от:PREF/вар:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/вар:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
агитировать, агит:ROOT/ир:SUFF/ова:SUFF/ть:SUFF, агит:ROOT/ир:SUFF/ов:SUFF/ать:END, VERB
держаться, держ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, держ:ROOT/ать:END/ся:POSTFIX, VERB
холодать, холод:ROOT/а:SUFF/ть:SUFF, холод:ROOT/ать:END, VERB
вырабатывать, вы:PREF/рабат:ROOT/ыва:SUFF/ть:SUFF, вы:PREF/рабат:ROOT/ыв:SUFF/ать:END, VERB
двигать, двиг:ROOT/а:SUFF/ть:SUFF, двиг:ROOT/ать:END, VERB
заправиться, заправ:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/прав:ROOT/ить:END/ся:POSTFIX, VERB
обегать, о:PREF/бег:ROOT/а:SUFF/ть:SUFF, о:PREF/бег:ROOT/ать:END, VERB
расчленять, рас:PREF/член:ROOT/я:SUFF/ть:SUFF, рас:PREF/член:ROOT/ять:END, VERB
забинтоваться, за:PREF/бинт:ROOT/ова:SUFF/ть:SUFF/ся:POSTFIX, за:PREF/бинт:ROOT/ов:SUFF/ать:END/ся:POSTFIX, VERB
состарить, со:PREF/стар:ROOT/и:SUFF/ть:SUFF, со:PREF/стар:ROOT/ить:END, VERB
ввалиться, в:PREF/вал:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, в:PREF/вал:ROOT/ить:END/ся:POSTFIX, VERB
научиться, на:PREF/уч:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/уч:ROOT/ить:END/ся:POSTFIX, VERB
